time;error
23.23560;0.0370401
23.23631;0.0370753
23.23638;0.0370782
23.23748;0.0371566
23.23751;0.0371508
23.23830;0.0371765
23.23874;0.0371886
23.23974;0.0371897
24.24035;0.0372357
24.24088;0.0372814
24.24091;0.0373013
24.24147;0.0373402
24.24210;0.03739
24.24254;0.0374136
24.24305;0.0374249
24.24356;0.0374221
24.24403;0.0374347
24.24474;0.0374442
24.24492;0.0374393
24.24557;0.0374665
24.24596;0.0374482
24.24659;0.0375229
24.24731;0.0375392
24.24775;0.0375596
24.24812;0.0375978
24.24862;0.0376333
24.24910;0.0376636
24.24966;0.0376749
24.24991;0.0376749
25.25059;0.0376807
25.25105;0.0376949
25.25167;0.0377123
25.25215;0.0377148
25.25270;0.0377671
25.25294;0.0377687
25.25379;0.0378134
25.25391;0.0378284
25.25499;0.0378226
25.25589;0.0378261
25.25618;0.0378353
25.25662;0.0378699
25.25725;0.0378776
25.25785;0.0380121
25.25847;0.0380229
25.25875;0.0380241
0.312;0.00221796
0.364;0.00221796
0.369;0.00221795
0.444;0.00220853
0.495;0.00250197
0.555;0.00249096
0.569;0.00248397
0.641;0.00672458
0.706;0.00885735
0.737;0.0101076
0.785;0.0163778
0.826;0.017754
0.932;0.0172322
0.932;0.0178596
1.1004;0.0181571
1.1051;0.0175807
1.1113;0.0159181
1.1122;0.0142214
1.1184;0.0138237
1.1239;0.0102162
1.1293;0.00802161
1.1339;0.00682335
1.1369;0.00651593
1.1419;0.00623552
1.1551;0.00284664
1.1585;0.00109026
1.1616;0.000301476
1.1659;-0.000306978
1.1706;-0.00129311
1.1719;-0.00163046
1.1771;-0.0015185
1.1863;-0.00158328
1.1869;-0.00143495
1.1925;-0.00142172
1.1969;-0.00133076
2.2019;-0.0013123
2.2089;-0.000706624
2.2151;-0.000386438
2.2195;-7.34823e-05
2.2247;0.000112169
2.2284;0.000370161
2.2355;0.000655653
2.2417;0.000805987
2.2445;0.000898191
2.2503;0.000724216
2.2547;0.000637181
2.2569;0.000616895
2.2619;0.000577847
2.2715;0.00182506
2.2761;0.00297217
2.2840;0.00398736
2.2841;0.00440682
2.2892;0.00471506
2.2939;0.00491792
3.3000;0.0046695
3.3059;0.00451864
3.3069;0.00446133
3.3119;0.00477869
3.3230;0.00496679
3.3238;0.00497967
3.3297;0.00553524
3.3322;0.00654128
3.3383;0.00658947
3.3428;0.00807864
3.3489;0.0100293
3.3536;0.0116017
3.3587;0.0140268
3.3656;0.0208395
3.3669;0.0211844
3.3747;0.0215389
3.3797;0.0489519
3.3856;0.0705926
3.3904;0.0827098
3.3939;0.0870555
4.4015;0.0873081
4.4060;0.0820513
4.4133;0.0620364
4.4133;0.0494816
4.4199;0.0363564
4.4247;0.0149061
4.4298;0.00200088
4.4345;-0.00301978
4.4373;-0.00301765
4.4423;-0.00482259
4.4515;0.00521253
4.4586;0.0217699
4.4593;0.0454641
4.4653;0.0529269
4.4686;0.0829275
4.4735;0.108574
4.4815;0.125114
4.4835;0.134901
